"func","def","fungen","pkg","pag","fungen_bad","sinpagina"
"base-package","The R Base Package","base-package","base","3",,
"abbreviate","Abbreviate Strings","abbreviate","base","9",,
"abs","Miscellaneous Mathematical Functions","MathFun","base","338",,
"acos","Trigonometric Functions","Trig","base","625",,
"acosh","Hyperbolic Functions","Hyperbolic","base","259",,
"activeBindingFunction","Binding and Environment Locking, Active Bindings","bindenv","base","53",,
"addNA","Factors","factor","base","196",,
"addTaskCallback","Add or Remove a Top-Level Task Callback","taskCallback","base","602",,
"agrep","Approximate String Matching (Fuzzy Matching)","agrep","base","10",,
"agrepl","Approximate String Matching (Fuzzy Matching)","agrep","base","10",,
"alist","Lists - Generic and Dotted Pairs","list","base","310",,
"all","Are All Values True?","all","base","12",,
"all.equal","Test if Two Objects are (Nearly) Equal","all.equal","base","14",,
"all.names","Find All Names in an Expression","allnames","base","358",,
"all.vars","Find All Names in an Expression","allnames","base","358",,
"allowInterrupts","Condition Handling and Recovery","conditions","base","94",,
"any","Are Some Values True?","any","base","18",,
"anyDuplicated","Determine Duplicate Elements","duplicated","base","161",,
"anyMissing","'Not Available' / Missing Values","NA","base","356",,
"anyNA","'Not Available' / Missing Values","NA","base","356",,
"anyNA.numeric_version","Numeric Versions","numeric_version","base","381",,
"anyNA.POSIXlt","Date-Time Classes","DateTimeClasses","base","126",,
"aperm","Array Transposition","aperm","base","19",,
"append","Vector Merging","append","base","20",,
"apply","Apply Functions Over Array Margins","apply","base","21",,
"arccos","Trigonometric Functions","Trig","base","625",,
"arcsin","Trigonometric Functions","Trig","base","625",,
"arctan","Trigonometric Functions","Trig","base","625",,
"Arg","Complex Numbers and Basic Functionality","complex","base","92",,
"args","Argument List of a Function","args","base","22",,
"Arithmetic","Arithmetic Operators","Arithmetic","base","24",,
"array","Multi-way Arrays","array","base","26",,
"arrayInd","Which indices are TRUE?","which","base","651",,
"as.array","Multi-way Arrays","array","base","26",,
"as.call","Function Calls","call","base","64",,
"as.character","Character Vectors","character","base","75",,
