"","func","def","fungen","pkg","pag"
"2","base-package","The R Base Package","base-package","base","3"
"3","abbreviate","Abbreviate Strings","abbreviate","base","9"
"4","abs","Miscellaneous Mathematical Functions","MathFun","base","338"
"5","acos","Trigonometric Functions","Trig","base","625"
"6","acosh","Hyperbolic Functions","Hyperbolic","base","259"
"7","activeBindingFunction","Binding and Environment Locking, Active Bindings","bindenv","base","53"
"8","addNA","Factors","factor","base","196"
"9","addTaskCallback","Add or Remove a Top-Level Task Callback","taskCallback","base","602"
"10","agrep","Approximate String Matching (Fuzzy Matching)","agrep","base","10"
"11","agrepl","Approximate String Matching (Fuzzy Matching)","agrep","base","10"
"12","alist","Lists - Generic and Dotted Pairs","list","base","310"
"13","all","Are All Values True?","all","base","12"
"14","all.equal","Test if Two Objects are (Nearly) Equal","all.equal","base","14"
"15","all.names","Find All Names in an Expression","allnames","base","358"
"16","all.vars","Find All Names in an Expression","allnames","base","358"
"17","allowInterrupts","Condition Handling and Recovery","conditions","base","94"
"18","any","Are Some Values True?","any","base","18"
"19","anyDuplicated","Determine Duplicate Elements","duplicated","base","161"
"20","anyMissing","'Not Available' / Missing Values","NA","base","356"
"21","anyNA","'Not Available' / Missing Values","NA","base","356"
"22","anyNA.numeric_version","Numeric Versions","numeric_version","base","381"
"23","anyNA.POSIXlt","Date-Time Classes","DateTimeClasses","base","126"
"24","aperm","Array Transposition","aperm","base","19"
"25","append","Vector Merging","append","base","20"
"26","apply","Apply Functions Over Array Margins","apply","base","21"
"27","arccos","Trigonometric Functions","Trig","base","625"
"28","arcsin","Trigonometric Functions","Trig","base","625"
"29","arctan","Trigonometric Functions","Trig","base","625"
"30","Arg","Complex Numbers and Basic Functionality","complex","base","92"
"31","args","Argument List of a Function","args","base","22"
"32","Arithmetic","Arithmetic Operators","Arithmetic","base","24"
"33","array","Multi-way Arrays","array","base","26"
"34","arrayInd","Which indices are TRUE?","which","base","651"
"35","as.array","Multi-way Arrays","array","base","26"
"36","as.call","Function Calls","call","base","64"
"37","as.character","Character Vectors","character","base","75"
"38","as.character.condition","Condition Handling and Recovery","conditions","base","94"
"39","as.character.Date","Date Conversion Functions to and from Character","as.Date","base","30"
"40","as.character.hexmode","Integer Numbers Displayed in Hexadecimal","hexmode","base","257"
"41","as.character.numeric_version","Numeric Versions","numeric_version","base","381"
"42","as.character.octmode","Integer Numbers Displayed in Octal","octmode","base","382"
"43","as.character.POSIXt","Date-time Conversion Functions to and from Character","strptime","base","547"
"44","as.character.srcref","References to Source Files and Code","srcfile","base","535"
"45","as.complex","Complex Numbers and Basic Functionality","complex","base","92"
"46","as.data.frame","Coerce to a Data Frame","as.data.frame","base","28"
"47","as.data.frame.AsIs","Coerce to a Data Frame","as.data.frame","base","28"
"48","as.data.frame.Date","Date Class","Dates","base","125"
"49","as.data.frame.numeric_version","Numeric Versions","numeric_version","base","381"
"50","as.data.frame.POSIXct","Date-Time Classes","DateTimeClasses","base","126"
"51","as.data.frame.table","Cross Tabulation and Table Creation","table","base","596"
"52","as.Date","Date Conversion Functions to and from Character","as.Date","base","30"
"53","as.difftime","Time Intervals / Differences","difftime","base","146"
"54","as.double","Double-Precision Vectors","double","base","154"
"55","as.double.difftime","Time Intervals / Differences","difftime","base","146"
"56","as.double.POSIXlt","Date-time Conversion Functions","as.POSIXlt","base","1120"
"57","as.environment","Coerce to an Environment Object","as.environment","base","33"
"58","as.expression","Unevaluated Expressions","expression","base","182"
"59","as.factor","Factors","factor","base","196"
"60","as.function","Convert Object to Function","as.function","base","34"
"61","as.hexmode","Integer Numbers Displayed in Hexadecimal","hexmode","base","257"
"62","as.integer","Integer Vectors","integer","base","270"
"63","as.list","Lists - Generic and Dotted Pairs","list","base","310"
"64","as.list.Date","Date Class","Dates","base","125"
"65","as.list.difftime","Time Intervals / Differences","difftime","base","146"
"66","as.list.numeric_version","Numeric Versions","numeric_version","base","381"
"67","as.list.POSIXct","Date-Time Classes","DateTimeClasses","base","126"
"68","as.logical","Logical Vectors","logical","base","323"
"69","as.matrix","Matrices","matrix","base","340"
"70","as.matrix.noquote","Class for 'no quote' Printing of Character Strings","noquote","base","365"
"71","as.matrix.POSIXlt","Date-Time Classes","DateTimeClasses","base","126"
"72","as.name","Names and Symbols","name","base","358"
"73","as.null","The Null Object","NULL","base","376"
"74","as.numeric","Numeric Vectors","numeric","base","378"
"75","as.numeric_version","Numeric Versions","numeric_version","base","381"
"76","as.octmode","Integer Numbers Displayed in Octal","octmode","base","382"
"77","as.ordered","Factors","factor","base","196"
"78","as.package_version","Numeric Versions","numeric_version","base","381"
"79","as.pairlist","Lists - Generic and Dotted Pairs","list","base","310"
"80","as.POSIXct","Date-time Conversion Functions","as.POSIXlt","base","1120"
"81","as.POSIXlt","Date-time Conversion Functions","as.POSIXlt","base","1120"
"82","as.qr","The QR Decomposition of a Matrix","qr","base","426"
"83","as.raw","Raw Vectors","raw","base","447"
"84","as.single","Double-Precision Vectors","double","base","154"
"85","as.symbol","Names and Symbols","name","base","358"
"86","as.table","Cross Tabulation and Table Creation","table","base","596"
"87","as.vector","Vectors - Creation, Coercion, etc","vector","base","643"
"88","asin","Trigonometric Functions","Trig","base","625"
"89","asinh","Hyperbolic Functions","Hyperbolic","base","259"
"90","AsIs","Inhibit Interpretation/Conversion of Objects","AsIs","base","38"
"91","asplit","Split Array/Matrix By Its Margins","asplit","base","39"
"92","asS3","Test for an S4 object","isS4","base","283"
"93","asS4","Test for an S4 object","isS4","base","283"
"94","assign","Assign a Value to a Name","assign","base","40"
"95","assignOps","Assignment Operators","assignOps","base","41"
"96","atan","Trigonometric Functions","Trig","base","625"
"97","atan2","Trigonometric Functions","Trig","base","625"
"98","atanh","Hyperbolic Functions","Hyperbolic","base","259"
"99","atomic","Vectors - Creation, Coercion, etc","vector","base","643"
"100","attach","Attach Set of R Objects to Search Path","attach","base","42"
"101","attachNamespace","Loading and Unloading Name Spaces","ns-load","base","373"
"102","attr","Object Attributes","attr","base","44"
"103","attr.all.equal","Test if Two Objects are (Nearly) Equal","all.equal","base","14"
"104","attributes","Object Attribute Lists","attributes","base","45"
"105","autoload","On-demand Loading of Packages","autoload","base","47"
"106","autoloader","On-demand Loading of Packages","autoload","base","47"
"107","Autoloads","On-demand Loading of Packages","autoload","base","47"
"108","backquote","Quotes","Quotes","base","432"
"109","backsolve","Solve an Upper or Lower Triangular System","backsolve","base","48"
"110","backtick","Quotes","Quotes","base","432"
"111","base","The R Base Package","base-package","base","3"
"112","baseenv","Environment Access","environment","base","172"
"113","basename","Manipulate File Paths","basename","base","49"
"114","Bessel","Bessel Functions","Bessel","base","50"
"115","bessel","Bessel Functions","Bessel","base","50"
"116","besselI","Bessel Functions","Bessel","base","50"
"117","besselJ","Bessel Functions","Bessel","base","50"
"118","besselK","Bessel Functions","Bessel","base","50"
"119","besselY","Bessel Functions","Bessel","base","50"
"120","beta","Special Functions of Mathematics","Special","base","524"
"121","bindenv","Binding and Environment Locking, Active Bindings","bindenv","base","53"
"122","bindingIsActive","Binding and Environment Locking, Active Bindings","bindenv","base","53"
"123","bindingIsLocked","Binding and Environment Locking, Active Bindings","bindenv","base","53"
"124","bindtextdomain","Translate Text Messages","gettext","base","241"
"125","bitwAnd","Bitwise Logical Operations","bitwise","base","55"
"126","bitwNot","Bitwise Logical Operations","bitwise","base","55"
"127","bitwOr","Bitwise Logical Operations","bitwise","base","55"
"128","bitwShiftL","Bitwise Logical Operations","bitwise","base","55"
"129","bitwShiftR","Bitwise Logical Operations","bitwise","base","55"
"130","bitwXor","Bitwise Logical Operations","bitwise","base","55"
"131","body","Access to and Manipulation of the Body of a Function","body","base","56"
"132","bquote","Partial substitution in expressions","bquote","base","57"
"133","break","Control Flow","Control","base","110"
"134","browser","Environment Browser","browser","base","58"
"135","browserCondition","Functions to Retrieve Values Supplied by Calls to the Browser","browserText","base","59"
"136","browserSetDebug","Functions to Retrieve Values Supplied by Calls to the Browser","browserText","base","59"
"137","browserText","Functions to Retrieve Values Supplied by Calls to the Browser","browserText","base","59"
"138","builtins","Returns the Names of All Built-in Objects","builtins","base","60"
"139","by","Apply a Function to a Data Frame Split by Factors","by","base","61"
"140","bzfile","Functions to Manipulate Connections (Files, URLs, ...)","connections","base","99"
"141","c","Combine Values into a Vector or List","c","base","62"
"142","c.Date","Date Class","Dates","base","125"
"143","c.difftime","Time Intervals / Differences","difftime","base","146"
"144","c.factor","Factors","factor","base","196"
"145","c.noquote","Class for 'no quote' Printing of Character Strings","noquote","base","365"
"146","c.numeric_version","Numeric Versions","numeric_version","base","381"
"147","c.POSIXct","Date-Time Classes","DateTimeClasses","base","126"
"148","c.warnings","Print Warning Messages","warnings","base","648"
"149","call","Function Calls","call","base","64"
"150","callCC","Call With Current Continuation","callCC","base","65"
"151","capabilities","Report Capabilities of this Build of R","capabilities","base","67"
"152","casefold","Character Translation and Casefolding","chartr","base","77"
"153","cat","Concatenate and Print","cat","base","69"
"154","cbind","Combine R Objects by Rows or Columns","cbind","base","71"
"155","cbind.data.frame","Combine R Objects by Rows or Columns","cbind","base","71"
"156","ceiling","Rounding of Numbers","Round","base","478"
"157","char.expand","Expand a String with Respect to a Target Table","char.expand","base","74"
"158","character","Character Vectors","character","base","75"
"159","charmatch","Partial String Matching","charmatch","base","76"
"160","charToRaw","Convert to or from (Bit/Packed) Raw Vectors","rawConversion","base","450"
"161","chartr","Character Translation and Casefolding","chartr","base","77"
"162","check_tzones","Date-Time Classes","DateTimeClasses","base","126"
"163","chkDots","Warn About Extraneous Arguments in the ""..."" of Its Caller","chkDots","base","79"
"164","chol","The Cholesky Decomposition","chol","base","2306"
"165","chol2inv","Inverse from Cholesky (or QR) Decomposition","chol2inv","base","82"
"166","choose","Special Functions of Mathematics","Special","base","524"
"167","class","Object Classes","class","base","2555"
