"","func","def","fungen","pkg","pag"
"1","base-package","The R Base Package","base-package","base","3"
"2","abbreviate","Abbreviate Strings","abbreviate","base","9"
"3","abs","Miscellaneous Mathematical Functions","MathFun","base","338"
"4","acos","Trigonometric Functions","Trig","base","625"
"5","acosh","Hyperbolic Functions","Hyperbolic","base","259"
"6","activeBindingFunction","Binding and Environment Locking, Active Bindings","bindenv","base","53"
"7","addNA","Factors","factor","base","196"
"8","addTaskCallback","Add or Remove a Top-Level Task Callback","taskCallback","base","602"
"9","agrep","Approximate String Matching (Fuzzy Matching)","agrep","base","10"
"10","agrepl","Approximate String Matching (Fuzzy Matching)","agrep","base","10"
"11","alist","Lists - Generic and Dotted Pairs","list","base","310"
"12","all","Are All Values True?","all","base","12"
"13","all.equal","Test if Two Objects are (Nearly) Equal","all.equal","base","14"
"14","all.names","Find All Names in an Expression","allnames","base","358"
"15","all.vars","Find All Names in an Expression","allnames","base","358"
"16","allowInterrupts","Condition Handling and Recovery","conditions","base","94"
"17","any","Are Some Values True?","any","base","18"
"18","anyDuplicated","Determine Duplicate Elements","duplicated","base","161"
"19","anyMissing","'Not Available' / Missing Values",NA,"base","356"
"20","anyNA","'Not Available' / Missing Values",NA,"base","356"
"21","anyNA.numeric_version","Numeric Versions","numeric_version","base","381"
"22","anyNA.POSIXlt","Date-Time Classes","DateTimeClasses","base","126"
"23","aperm","Array Transposition","aperm","base","19"
"24","append","Vector Merging","append","base","20"
"25","apply","Apply Functions Over Array Margins","apply","base","21"
"26","arccos","Trigonometric Functions","Trig","base","625"
"27","arcsin","Trigonometric Functions","Trig","base","625"
"28","arctan","Trigonometric Functions","Trig","base","625"
"29","Arg","Complex Numbers and Basic Functionality","complex","base","92"
"30","args","Argument List of a Function","args","base","22"
"31","Arithmetic","Arithmetic Operators","Arithmetic","base","24"
"32","array","Multi-way Arrays","array","base","26"
"33","arrayInd","Which indices are TRUE?","which","base","651"
"34","as.array","Multi-way Arrays","array","base","26"
"35","as.call","Function Calls","call","base","64"
"36","as.character","Character Vectors","character","base","75"
"37","as.character.condition","Condition Handling and Recovery","conditions","base","94"
"38","as.character.Date","Date Conversion Functions to and from Character","as.Date","base","30"
"39","as.character.hexmode","Integer Numbers Displayed in Hexadecimal","hexmode","base","257"
"40","as.character.numeric_version","Numeric Versions","numeric_version","base","381"
"41","as.character.octmode","Integer Numbers Displayed in Octal","octmode","base","382"
"42","as.character.POSIXt","Date-time Conversion Functions to and from Character","strptime","base","547"
"43","as.character.srcref","References to Source Files and Code","srcfile","base","535"
"44","as.complex","Complex Numbers and Basic Functionality","complex","base","92"
"45","as.data.frame","Coerce to a Data Frame","as.data.frame","base","28"
"46","as.data.frame.AsIs","Coerce to a Data Frame","as.data.frame","base","28"
"47","as.data.frame.Date","Date Class","Dates","base","125"
"48","as.data.frame.numeric_version","Numeric Versions","numeric_version","base","381"
